,gender,seniorcitizen,partner,dependents,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,tenure,phoneservice,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,cust-loyality,family_member,subscription_count
1750,Female,old,No,No,No,Fiber optic,No,No,Yes,Yes,No,Yes,50,Yes,Two year,Yes,Bank transfer (automatic),89.7,4304.5,No,Very Loyal,Single,3
1751,Male,old,No,No,Yes,Fiber optic,No,No,No,Yes,Yes,No,14,Yes,Month-to-month,Yes,Electronic check,89.95,1178.4,Yes,Somewhat Loyal,Single,2
1752,Male,old,Yes,No,No,DSL,Yes,No,No,No,No,No,27,Yes,One year,No,Credit card (automatic),48.7,1421.75,No,Loyal,Married,1
1753,Female,youth,Yes,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,72,Yes,Two year,Yes,Bank transfer (automatic),96.6,6827.5,No,Very Loyal,Married,4
1754,Male,old,No,No,No,DSL,Yes,Yes,No,No,Yes,Yes,62,Yes,One year,Yes,Credit card (automatic),74.3,4698.05,No,Very Loyal,Single,4
1755,Female,old,No,No,No,DSL,No,Yes,No,Yes,No,No,12,Yes,Month-to-month,Yes,Electronic check,54.3,654.5,No,Somewhat Loyal,Single,2
1756,Female,youth,No,No,No,DSL,No,No,Yes,Yes,Yes,Yes,44,Yes,One year,No,Bank transfer (automatic),74.85,3268.05,No,Loyal,Single,4
1757,Male,old,Yes,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,54,Yes,Two year,Yes,Bank transfer (automatic),79.95,4362.05,No,Very Loyal,Married With Dependents ,2
1758,Female,old,No,No,No,No,No,No,No,No,No,No,68,Yes,Two year,No,Bank transfer (automatic),20.05,1386.9,No,Very Loyal,Single,0
1759,Male,old,No,No,No,No,No,No,No,No,No,No,20,Yes,Month-to-month,No,Mailed check,19.4,415.4,No,Somewhat Loyal,Single,0
1760,Male,old,Yes,Yes,Yes,DSL,No,No,Yes,No,No,No,50,Yes,One year,No,Bank transfer (automatic),54.9,2614.1,No,Very Loyal,Married With Dependents ,1
1761,Male,old,No,No,Yes,No,No,No,No,No,No,No,58,Yes,Two year,Yes,Credit card (automatic),24.45,1513.6,No,Very Loyal,Single,0
1762,Male,old,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,35,Yes,Month-to-month,Yes,Bank transfer (automatic),89.65,3161.6,No,Loyal,Married With Dependents ,2
1763,Female,old,No,No,No,DSL,No,No,No,No,No,No,2,Yes,Month-to-month,Yes,Electronic check,45.4,80.95,No,New,Single,0
1764,Male,old,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,63,Yes,Two year,No,Mailed check,75.7,4676.7,No,Very Loyal,Married With Dependents ,4
1765,Female,old,Yes,No,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,58,Yes,One year,Yes,Credit card (automatic),110.65,6526.65,No,Very Loyal,Married,5
1766,Female,old,Yes,Yes,No,No,No,No,No,No,No,No,27,Yes,One year,Yes,Mailed check,20.55,583.3,No,Loyal,Married With Dependents ,0
1767,Female,old,Yes,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,71,Yes,Two year,Yes,Credit card (automatic),115.15,8078.1,No,Very Loyal,Married,6
1768,Female,old,No,No,No,DSL,No,No,Yes,No,No,Yes,63,Yes,One year,No,Credit card (automatic),58.55,3503.5,No,Very Loyal,Single,2
1769,Male,old,Yes,No,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,71,Yes,Month-to-month,Yes,Bank transfer (automatic),93.25,6669.45,No,Very Loyal,Married,3
1770,Female,youth,No,No,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,41,Yes,Month-to-month,Yes,Electronic check,113.2,4689.5,Yes,Loyal,Single,5
1771,Male,youth,No,No,No,Fiber optic,No,No,No,No,Yes,Yes,13,Yes,Month-to-month,Yes,Electronic check,90.5,1201.15,Yes,Somewhat Loyal,Single,2
1772,Male,old,No,No,No,Fiber optic,No,No,No,No,Yes,No,2,Yes,Month-to-month,No,Electronic check,79.0,143.65,Yes,New,Single,1
1773,Female,old,Yes,Yes,No,No,No,No,No,No,No,No,68,Yes,Two year,Yes,Bank transfer (automatic),19.35,1292.65,No,Very Loyal,Married With Dependents ,0
1774,Male,old,Yes,Yes,No,DSL,Yes,No,No,No,No,No,1,Yes,Month-to-month,Yes,Mailed check,48.75,48.75,No,New,Married With Dependents ,1
1775,Male,youth,No,No,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,65,Yes,Two year,Yes,Electronic check,109.05,7108.2,No,Very Loyal,Single,5
1776,Male,youth,Yes,No,Yes,No,No,No,No,No,No,No,72,Yes,Two year,Yes,Bank transfer (automatic),25.0,1802.55,No,Very Loyal,Married,0
1777,Female,old,No,No,Yes,DSL,No,No,No,Yes,No,No,28,Yes,Month-to-month,Yes,Credit card (automatic),54.9,1505.15,No,Loyal,Single,1
1778,Male,old,Yes,Yes,Yes,No,No,No,No,No,No,No,72,Yes,Two year,No,Credit card (automatic),24.75,1859.1,No,Very Loyal,Married With Dependents ,0
1779,Female,old,No,No,No,Fiber optic,Yes,Yes,No,No,Yes,No,2,Yes,Month-to-month,Yes,Electronic check,91.15,168.5,No,New,Single,3
1780,Female,old,No,Yes,No,No,No,No,No,No,No,No,18,Yes,One year,No,Bank transfer (automatic),20.15,390.85,Yes,Somewhat Loyal,Singe With Dependents,0
1781,Male,youth,Yes,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,60,Yes,One year,Yes,Electronic check,104.35,6339.45,No,Very Loyal,Married,4
1782,Female,youth,No,No,Yes,DSL,No,No,No,Yes,No,Yes,26,Yes,Month-to-month,Yes,Electronic check,66.05,1652.4,No,Loyal,Single,2
1783,Male,old,No,Yes,No,Fiber optic,No,No,No,No,No,No,1,Yes,Month-to-month,Yes,Electronic check,71.65,71.65,Yes,New,Singe With Dependents,0
1784,Female,old,No,No,No,No,No,No,No,No,No,No,4,Yes,Month-to-month,No,Mailed check,20.35,77.5,Yes,New,Single,0
1785,Male,old,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,68,Yes,Two year,Yes,Credit card (automatic),92.2,6392.85,No,Very Loyal,Married With Dependents ,6
1786,Female,old,No,No,No,Fiber optic,No,Yes,Yes,Yes,No,No,38,Yes,Month-to-month,Yes,Credit card (automatic),84.25,3264.5,Yes,Loyal,Single,3
1787,Female,youth,Yes,No,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,42,Yes,One year,Yes,Bank transfer (automatic),105.2,4599.15,No,Loyal,Married,4
1788,Female,old,Yes,No,No,No,No,No,No,No,No,No,57,Yes,Two year,Yes,Bank transfer (automatic),19.6,1134.25,No,Very Loyal,Married,0
1789,Male,old,Yes,No,unknown,DSL,No,Yes,No,No,No,No,54,No,Month-to-month,No,Electronic check,30.4,1621.35,No,Very Loyal,Married,1
1790,Female,old,No,No,No,Fiber optic,No,No,No,No,No,Yes,12,Yes,Month-to-month,No,Bank transfer (automatic),78.1,947.3,Yes,Somewhat Loyal,Single,1
1791,Female,old,Yes,No,No,DSL,Yes,Yes,Yes,No,No,No,44,Yes,One year,Yes,Mailed check,61.5,2722.2,No,Loyal,Married,3
1792,Male,old,Yes,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,42,Yes,Month-to-month,Yes,Bank transfer (automatic),69.4,3058.3,No,Loyal,Married With Dependents ,3
1793,Male,old,Yes,Yes,Yes,No,No,No,No,No,No,No,72,Yes,Two year,No,Bank transfer (automatic),24.75,1769.6,No,Very Loyal,Married With Dependents ,0
1794,Female,old,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,71,Yes,Two year,No,Mailed check,91.05,6293.75,No,Very Loyal,Married With Dependents ,6
1795,Female,old,Yes,No,Yes,Fiber optic,No,No,Yes,No,No,Yes,19,Yes,Month-to-month,No,Mailed check,89.65,1761.05,Yes,Somewhat Loyal,Married,2
1796,Female,old,Yes,No,Yes,DSL,No,No,No,Yes,Yes,Yes,23,Yes,Month-to-month,Yes,Credit card (automatic),73.65,1642.75,No,Somewhat Loyal,Married,3
1797,Female,old,No,No,No,No,No,No,No,No,No,No,30,Yes,Two year,No,Credit card (automatic),19.4,578.5,No,Loyal,Single,0
1798,Male,old,No,No,Yes,No,No,No,No,No,No,No,35,Yes,One year,No,Bank transfer (automatic),26.2,954.9,No,Loyal,Single,0
1799,Female,old,No,No,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,10,Yes,Month-to-month,Yes,Electronic check,98.7,973.25,Yes,New,Single,3
1800,Male,old,No,No,No,DSL,No,No,No,No,No,No,1,Yes,Month-to-month,Yes,Bank transfer (automatic),43.85,43.85,No,New,Single,0
1801,Male,old,No,No,No,Fiber optic,No,No,No,No,No,No,22,Yes,Month-to-month,Yes,Mailed check,69.7,1490.4,No,Somewhat Loyal,Single,0
1802,Male,old,Yes,Yes,unknown,DSL,Yes,Yes,Yes,No,No,No,7,No,Two year,No,Mailed check,38.55,280.0,No,New,Married With Dependents ,3
1803,Female,old,No,No,unknown,DSL,Yes,Yes,Yes,Yes,No,Yes,36,No,Two year,Yes,Mailed check,53.1,1901.25,No,Loyal,Single,5
1804,Female,old,Yes,Yes,No,No,No,No,No,No,No,No,34,Yes,Month-to-month,No,Mailed check,20.65,716.4,No,Loyal,Married With Dependents ,0
1805,Male,old,Yes,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,72,Yes,Two year,No,Credit card (automatic),64.45,4720.0,No,Very Loyal,Married With Dependents ,3
1806,Male,old,Yes,Yes,Yes,No,No,No,No,No,No,No,36,Yes,Two year,No,Credit card (automatic),25.1,930.95,No,Loyal,Married With Dependents ,0
1807,Female,old,No,No,No,Fiber optic,No,No,Yes,No,No,No,1,Yes,Month-to-month,No,Electronic check,76.35,76.35,Yes,New,Single,1
1808,Female,old,No,No,Yes,Fiber optic,No,Yes,No,No,No,No,23,Yes,Month-to-month,Yes,Electronic check,79.15,1676.95,Yes,Somewhat Loyal,Single,1
1809,Male,youth,Yes,No,Yes,Fiber optic,No,No,No,No,No,Yes,32,Yes,Month-to-month,Yes,Electronic check,85.0,2642.05,Yes,Loyal,Married,1
1810,Female,old,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,71,Yes,One year,Yes,Credit card (automatic),95.15,6770.85,No,Very Loyal,Married With Dependents ,4
1811,Female,youth,No,No,Yes,Fiber optic,No,No,Yes,No,No,No,23,Yes,Month-to-month,Yes,Mailed check,79.35,1835.3,No,Somewhat Loyal,Single,1
1812,Male,old,Yes,No,No,Fiber optic,No,No,Yes,No,Yes,Yes,17,Yes,One year,Yes,Bank transfer (automatic),96.65,1588.25,No,Somewhat Loyal,Married,3
1813,Male,old,No,No,No,DSL,No,No,Yes,Yes,Yes,Yes,1,Yes,Month-to-month,Yes,Electronic check,75.5,75.5,No,New,Single,4
1814,Male,old,Yes,Yes,No,No,No,No,No,No,No,No,12,Yes,Two year,No,Mailed check,19.7,258.35,No,Somewhat Loyal,Married With Dependents ,0
1815,Female,old,Yes,No,No,No,No,No,No,No,No,No,72,Yes,Two year,No,Credit card (automatic),20.5,1502.25,No,Very Loyal,Married,0
1816,Male,old,No,No,No,No,No,No,No,No,No,No,1,Yes,Month-to-month,No,Mailed check,19.2,19.2,No,New,Single,0
1817,Male,youth,Yes,No,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,72,Yes,Two year,No,Bank transfer (automatic),98.35,6929.4,No,Very Loyal,Married,3
1818,Male,old,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,No,60,Yes,Month-to-month,No,Bank transfer (automatic),74.35,4453.3,No,Very Loyal,Married With Dependents ,0
1819,Female,old,Yes,Yes,unknown,DSL,No,Yes,Yes,Yes,Yes,No,61,No,Two year,No,Credit card (automatic),51.35,3244.4,No,Very Loyal,Married With Dependents ,4
1820,Female,old,Yes,No,No,DSL,No,No,No,No,No,No,6,Yes,Month-to-month,No,Mailed check,45.65,323.45,No,New,Married,0
1821,Male,youth,Yes,No,Yes,Fiber optic,No,No,No,No,No,Yes,32,Yes,Month-to-month,No,Electronic check,85.3,2661.1,Yes,Loyal,Married,1
1822,Female,old,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,31,Yes,Month-to-month,Yes,Credit card (automatic),86.55,2697.4,Yes,Loyal,Singe With Dependents,1
1823,Male,old,No,No,No,Fiber optic,No,Yes,No,No,No,No,19,Yes,Month-to-month,Yes,Credit card (automatic),73.85,1424.5,Yes,Somewhat Loyal,Single,1
1824,Male,old,Yes,Yes,No,No,No,No,No,No,No,No,72,Yes,Two year,No,Bank transfer (automatic),20.3,1401.15,No,Very Loyal,Married With Dependents ,0
1825,Female,old,No,No,Yes,DSL,No,Yes,No,No,No,No,32,Yes,Month-to-month,Yes,Electronic check,54.2,1739.6,No,Loyal,Single,1
1826,Male,old,Yes,No,Yes,Fiber optic,No,Yes,No,No,No,Yes,65,Yes,Month-to-month,Yes,Electronic check,90.65,5931.0,No,Very Loyal,Married,2
1827,Female,old,Yes,Yes,unknown,DSL,Yes,No,No,No,Yes,Yes,45,No,Month-to-month,Yes,Bank transfer (automatic),50.9,2333.85,No,Loyal,Married With Dependents ,3
1828,Male,old,No,No,Yes,No,No,No,No,No,No,No,42,Yes,One year,No,Electronic check,25.05,949.85,No,Loyal,Single,0
1829,Male,old,No,No,Yes,Fiber optic,No,No,No,No,No,No,8,Yes,Month-to-month,Yes,Electronic check,74.85,572.45,No,New,Single,0
1830,Male,old,No,Yes,No,No,No,No,No,No,No,No,32,Yes,Two year,No,Mailed check,20.5,696.8,No,Loyal,Singe With Dependents,0
1831,Female,youth,Yes,No,Yes,DSL,Yes,Yes,No,Yes,No,No,22,Yes,Month-to-month,Yes,Mailed check,63.55,1381.8,No,Somewhat Loyal,Married,3
1832,Male,youth,Yes,No,unknown,DSL,No,No,No,No,Yes,Yes,57,No,Month-to-month,Yes,Electronic check,44.85,2572.95,Yes,Very Loyal,Married,2
1833,Male,old,No,No,No,DSL,Yes,No,No,No,No,No,1,Yes,Month-to-month,No,Electronic check,47.95,47.95,No,New,Single,1
1834,Male,youth,No,No,No,DSL,No,No,No,No,No,No,1,Yes,Month-to-month,No,Electronic check,45.1,45.1,Yes,New,Single,0
1835,Female,old,Yes,No,No,DSL,No,No,No,No,No,No,1,Yes,Month-to-month,Yes,Electronic check,45.0,45.0,No,New,Married,0
1836,Male,old,No,No,No,Fiber optic,No,No,No,Yes,Yes,Yes,24,Yes,Month-to-month,Yes,Electronic check,96.0,2122.45,Yes,Loyal,Single,3
1837,Male,old,No,No,No,No,No,No,No,No,No,No,1,Yes,Month-to-month,No,Bank transfer (automatic),20.05,20.05,Yes,New,Single,0
1838,Male,youth,No,No,Yes,Fiber optic,No,Yes,No,No,No,Yes,54,Yes,Month-to-month,Yes,Electronic check,90.05,4931.8,No,Very Loyal,Single,2
1839,Female,old,No,No,Yes,No,No,No,No,No,No,No,4,Yes,Two year,Yes,Credit card (automatic),25.3,116.95,No,New,Single,0
1840,Male,old,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,65,Yes,Two year,No,Bank transfer (automatic),108.65,6937.95,Yes,Very Loyal,Married With Dependents ,5
1841,Female,old,Yes,No,Yes,No,No,No,No,No,No,No,56,Yes,One year,No,Electronic check,24.3,1261.7,No,Very Loyal,Married,0
1842,Male,old,No,No,No,DSL,Yes,No,Yes,No,Yes,Yes,45,Yes,Month-to-month,Yes,Electronic check,75.95,3273.8,No,Loyal,Single,4
1843,Female,old,Yes,Yes,No,No,No,No,No,No,No,No,71,Yes,Two year,No,Credit card (automatic),19.7,1415.85,No,Very Loyal,Married With Dependents ,0
1844,Male,old,Yes,No,No,DSL,Yes,Yes,Yes,No,Yes,No,59,Yes,One year,No,Credit card (automatic),66.4,3958.2,No,Very Loyal,Married,4
1845,Male,old,No,No,unknown,DSL,No,Yes,Yes,No,No,No,69,No,One year,Yes,Bank transfer (automatic),35.75,2492.25,No,Very Loyal,Single,2
1846,Male,old,No,No,No,No,No,No,No,No,No,No,19,Yes,One year,No,Mailed check,18.8,279.2,No,Somewhat Loyal,Single,0
1847,Female,old,Yes,Yes,No,No,No,No,No,No,No,No,55,Yes,Two year,No,Credit card (automatic),19.4,1083.0,No,Very Loyal,Married With Dependents ,0
1848,Female,old,No,No,No,No,No,No,No,No,No,No,38,Yes,One year,No,Mailed check,19.3,755.5,No,Loyal,Single,0
1849,Male,old,No,No,No,DSL,No,No,No,No,No,No,10,Yes,Month-to-month,Yes,Electronic check,45.55,402.6,Yes,New,Single,0
1850,Female,youth,Yes,No,Yes,DSL,Yes,Yes,Yes,No,No,No,47,Yes,Month-to-month,Yes,Credit card (automatic),67.45,3252.0,No,Loyal,Married,3
1851,Female,old,Yes,No,unknown,DSL,No,No,No,No,No,Yes,2,No,Month-to-month,Yes,Electronic check,35.1,68.75,Yes,New,Married,1
1852,Male,old,No,No,No,DSL,No,No,No,No,No,No,1,Yes,Month-to-month,No,Credit card (automatic),46.2,46.2,Yes,New,Single,0
1853,Female,old,No,No,No,DSL,No,No,No,No,No,No,1,Yes,Month-to-month,No,Electronic check,45.15,45.15,Yes,New,Single,0
1854,Male,youth,No,No,unknown,DSL,No,Yes,Yes,No,No,Yes,1,No,Month-to-month,Yes,Electronic check,43.3,43.3,Yes,New,Single,3
1855,Male,old,Yes,Yes,No,No,No,No,No,No,No,No,46,Yes,Two year,Yes,Mailed check,20.1,936.85,No,Loyal,Married With Dependents ,0
1856,Female,youth,No,No,No,DSL,Yes,Yes,No,No,No,No,38,Yes,Month-to-month,Yes,Credit card (automatic),57.15,2250.65,Yes,Loyal,Single,2
1857,Female,old,Yes,No,No,DSL,Yes,No,Yes,Yes,No,No,65,Yes,Two year,No,Credit card (automatic),58.9,3857.1,No,Very Loyal,Married,3
1858,Female,old,Yes,No,No,Fiber optic,Yes,No,No,No,No,No,19,Yes,Month-to-month,Yes,Electronic check,73.2,1441.1,Yes,Somewhat Loyal,Married,1
1859,Male,old,No,No,No,Fiber optic,No,Yes,No,No,No,Yes,52,Yes,Month-to-month,Yes,Electronic check,85.35,4338.6,Yes,Very Loyal,Single,2
1860,Male,old,Yes,Yes,No,No,No,No,No,No,No,No,71,Yes,Two year,No,Mailed check,19.45,1378.45,No,Very Loyal,Married With Dependents ,0
1861,Female,old,No,No,No,DSL,No,No,No,No,No,No,1,Yes,Month-to-month,No,Mailed check,45.95,45.95,Yes,New,Single,0
1862,Female,youth,No,No,unknown,DSL,No,Yes,Yes,Yes,Yes,No,52,No,Month-to-month,Yes,Electronic check,50.5,2566.3,No,Very Loyal,Single,4
1863,Male,old,Yes,No,Yes,No,No,No,No,No,No,No,6,Yes,One year,No,Mailed check,25.1,171.0,No,New,Married,0
1864,Female,youth,Yes,No,No,DSL,No,No,Yes,No,No,Yes,26,Yes,One year,No,Mailed check,60.7,1597.4,No,Loyal,Married,2
1865,Male,youth,No,No,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,48,Yes,One year,Yes,Electronic check,99.0,4744.35,No,Loyal,Single,3
1866,Female,old,Yes,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,64,Yes,One year,Yes,Bank transfer (automatic),104.4,6721.6,No,Very Loyal,Married With Dependents ,4
1867,Female,old,No,No,No,Fiber optic,No,Yes,No,No,Yes,No,3,Yes,Month-to-month,No,Electronic check,83.75,247.25,Yes,New,Single,2
1868,Male,old,No,No,No,DSL,No,No,No,No,No,No,1,Yes,Month-to-month,Yes,Bank transfer (automatic),44.05,44.05,No,New,Single,0
1869,Male,old,Yes,Yes,Yes,No,No,No,No,No,No,No,72,Yes,Two year,No,Credit card (automatic),24.1,1734.65,No,Very Loyal,Married With Dependents ,0
1870,Male,old,No,No,No,DSL,No,No,No,No,No,No,1,Yes,Month-to-month,Yes,Mailed check,45.55,45.55,No,New,Single,0
1871,Female,old,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,51,Yes,Month-to-month,Yes,Electronic check,93.8,4539.35,No,Very Loyal,Married With Dependents ,3
1872,Female,old,Yes,Yes,No,No,No,No,No,No,No,No,41,Yes,Two year,No,Bank transfer (automatic),19.7,804.25,No,Loyal,Married With Dependents ,0
1873,Female,old,Yes,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,72,Yes,Two year,Yes,Credit card (automatic),70.65,5011.15,No,Very Loyal,Married With Dependents ,4
1874,Female,old,Yes,No,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,43,Yes,Two year,No,Credit card (automatic),86.45,3574.5,No,Loyal,Married,5
1875,Male,old,Yes,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,72,Yes,Two year,Yes,Credit card (automatic),114.1,8086.4,No,Very Loyal,Married,6
1876,Male,old,Yes,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,47,Yes,One year,Yes,Credit card (automatic),95.2,4563.0,No,Loyal,Married,2
1877,Male,old,No,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,72,Yes,Two year,No,Credit card (automatic),88.55,6362.35,No,Very Loyal,Single,6
1878,Male,old,No,No,No,No,No,No,No,No,No,No,3,Yes,Month-to-month,Yes,Credit card (automatic),20.75,67.1,No,New,Single,0
1879,Male,old,No,No,No,Fiber optic,No,No,No,No,No,No,1,Yes,Month-to-month,Yes,Electronic check,70.05,70.05,Yes,New,Single,0
1880,Male,old,No,No,Yes,Fiber optic,No,No,No,No,No,Yes,2,Yes,Month-to-month,Yes,Electronic check,86.0,165.45,Yes,New,Single,1
1881,Male,old,No,No,unknown,DSL,Yes,Yes,No,No,No,Yes,26,No,Month-to-month,Yes,Bank transfer (automatic),44.65,1156.55,No,Loyal,Single,3
1882,Male,old,Yes,Yes,No,DSL,Yes,No,No,No,No,Yes,29,Yes,Month-to-month,Yes,Mailed check,60.2,1834.15,No,Loyal,Married With Dependents ,2
1883,Female,youth,Yes,No,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,35,Yes,Month-to-month,Yes,Bank transfer (automatic),100.5,3653.35,Yes,Loyal,Married,4
1884,Male,old,No,No,No,DSL,Yes,Yes,No,No,No,No,27,Yes,One year,No,Bank transfer (automatic),55.45,1477.65,No,Loyal,Single,2
1885,Male,old,Yes,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,24,Yes,Month-to-month,Yes,Credit card (automatic),70.3,1706.45,No,Loyal,Married With Dependents ,4
1886,Male,old,Yes,Yes,No,DSL,Yes,No,Yes,Yes,No,No,67,Yes,Two year,Yes,Bank transfer (automatic),60.4,3953.7,No,Very Loyal,Married With Dependents ,3
1887,Female,old,No,No,Yes,Fiber optic,No,No,No,No,No,No,16,Yes,Month-to-month,No,Electronic check,72.65,1194.3,Yes,Somewhat Loyal,Single,0
1888,Female,old,No,No,No,DSL,No,Yes,Yes,No,No,No,23,Yes,One year,No,Bank transfer (automatic),55.8,1327.85,No,Somewhat Loyal,Single,2
1889,Male,old,No,No,unknown,DSL,No,Yes,No,No,No,No,14,No,Month-to-month,Yes,Mailed check,31.1,419.7,No,Somewhat Loyal,Single,1
1890,Female,old,Yes,Yes,No,No,No,No,No,No,No,No,1,Yes,Month-to-month,Yes,Electronic check,21.0,21.0,Yes,New,Married With Dependents ,0
1891,Female,youth,No,No,No,DSL,No,No,No,No,No,No,1,Yes,Month-to-month,No,Mailed check,45.1,45.1,Yes,New,Single,0
1892,Male,youth,No,No,unknown,DSL,No,Yes,No,No,Yes,Yes,4,No,Month-to-month,Yes,Credit card (automatic),50.95,207.35,No,New,Single,3
1893,Male,old,No,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,16,Yes,Month-to-month,Yes,Electronic check,69.1,1083.7,No,Somewhat Loyal,Singe With Dependents,3
1894,Female,old,Yes,No,unknown,DSL,No,No,No,No,Yes,Yes,46,No,Month-to-month,Yes,Electronic check,43.95,2007.85,No,Loyal,Married,2
1895,Male,old,No,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,68,Yes,Two year,Yes,Bank transfer (automatic),86.5,5882.75,No,Very Loyal,Singe With Dependents,5
1896,Male,old,No,No,Yes,DSL,Yes,Yes,Yes,Yes,No,No,38,Yes,Month-to-month,No,Electronic check,69.95,2657.55,No,Loyal,Single,4
1897,Male,youth,Yes,No,No,DSL,No,Yes,No,No,No,No,30,Yes,Month-to-month,Yes,Bank transfer (automatic),50.4,1527.5,Yes,Loyal,Married,1
1898,Female,youth,No,No,No,Fiber optic,No,No,No,No,No,Yes,5,Yes,Month-to-month,No,Electronic check,78.95,378.4,Yes,New,Single,1
1899,Male,old,No,No,No,Fiber optic,No,Yes,Yes,No,No,Yes,17,Yes,Month-to-month,Yes,Credit card (automatic),90.95,1612.2,No,Somewhat Loyal,Single,3
1900,Male,old,Yes,Yes,No,No,No,No,No,No,No,No,4,Yes,Two year,No,Mailed check,19.9,76.65,No,New,Married With Dependents ,0
1901,Female,old,No,No,No,No,No,No,No,No,No,No,12,Yes,One year,No,Electronic check,20.15,260.7,No,Somewhat Loyal,Single,0
1902,Male,old,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,72,Yes,Two year,Yes,Credit card (automatic),90.6,6441.85,No,Very Loyal,Married With Dependents ,6
1903,Male,old,No,No,No,Fiber optic,No,No,No,No,Yes,Yes,3,Yes,Month-to-month,Yes,Electronic check,92.0,266.8,No,New,Single,2
1904,Male,old,No,No,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,56,Yes,Month-to-month,Yes,Electronic check,94.45,5124.6,Yes,Very Loyal,Single,3
1905,Female,old,No,No,Yes,No,No,No,No,No,No,No,41,Yes,One year,Yes,Mailed check,24.85,962.25,No,Loyal,Single,0
1906,Male,old,No,No,unknown,DSL,No,Yes,No,Yes,No,No,40,No,One year,No,Credit card (automatic),36.0,1382.9,No,Loyal,Single,2
1907,Female,old,No,No,No,DSL,Yes,Yes,No,Yes,Yes,Yes,7,Yes,Month-to-month,Yes,Electronic check,78.5,571.05,No,New,Single,5
1908,Male,old,No,No,No,No,No,No,No,No,No,No,69,Yes,Two year,No,Credit card (automatic),19.95,1399.35,No,Very Loyal,Single,0
1909,Male,old,Yes,Yes,No,No,No,No,No,No,No,No,7,Yes,One year,No,Mailed check,20.65,150.0,No,New,Married With Dependents ,0
1910,Female,old,Yes,Yes,unknown,DSL,No,Yes,No,No,No,No,5,No,Month-to-month,Yes,Electronic check,30.5,167.2,No,New,Married With Dependents ,1
1911,Female,old,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,72,Yes,Two year,No,Credit card (automatic),106.1,7657.4,No,Very Loyal,Married With Dependents ,5
1912,Male,old,Yes,Yes,No,No,No,No,No,No,No,No,44,Yes,One year,Yes,Bank transfer (automatic),20.5,865.05,No,Loyal,Married With Dependents ,0
1913,Female,old,No,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,65,Yes,One year,Yes,Electronic check,95.5,6153.85,No,Very Loyal,Single,3
1914,Female,old,No,No,Yes,DSL,No,No,No,Yes,Yes,No,3,Yes,Month-to-month,No,Electronic check,64.6,174.2,No,New,Single,2
1915,Male,old,No,No,No,DSL,No,No,No,Yes,No,No,24,Yes,Month-to-month,Yes,Credit card (automatic),51.1,1269.6,No,Loyal,Single,1
1916,Female,old,No,No,Yes,Fiber optic,No,Yes,Yes,No,No,No,44,Yes,Month-to-month,Yes,Bank transfer (automatic),84.8,3862.55,Yes,Loyal,Single,2
